#TYPE Selected.System.Diagnostics.Eventing.Reader.EventLogRecord,,,,,,,,,,,,,,,,,,,,,,,,,
Id,Version,Qualifiers,Level,Task,Opcode,Keywords,RecordId,ProviderName,ProviderId,LogName,ProcessId,ThreadId,MachineName,UserId,TimeCreated,ActivityId,RelatedActivityId,ContainerLog,MatchedQueryIds,Bookmark,LevelDisplayName,OpcodeDisplayName,TaskDisplayName,KeywordsDisplayNames,Properties
1117,0,,4,0,0,-9.22337E+18,103,Microsoft-Windows-Windows Defender,11cd958a-c507-4ef3-b3f2-5fd9dfbd2c78,Microsoft-Windows-Windows Defender/Operational,6024,6068,MSEDGEWIN10,S-1-5-18,7/19/2019 4:53,2ad0cf94-c382-4568-a488-1253a4ed0f54,,c:\users\myuser\desktop\evtxsample\windefender_events_1117_1116_atomicredteam.evtx,System.Int32[],System.Diagnostics.Eventing.Reader.EventBookmark,Information,Info,,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
1116,0,,3,0,0,-9.22337E+18,102,Microsoft-Windows-Windows Defender,11cd958a-c507-4ef3-b3f2-5fd9dfbd2c78,Microsoft-Windows-Windows Defender/Operational,6024,6068,MSEDGEWIN10,S-1-5-18,7/19/2019 4:51,40013f0f-ef76-4940-a8b2-4de50be9aac3,,c:\users\myuser\desktop\evtxsample\windefender_events_1117_1116_atomicredteam.evtx,System.Int32[],System.Diagnostics.Eventing.Reader.EventBookmark,Warning,Info,,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
1117,0,,4,0,0,-9.22337E+18,101,Microsoft-Windows-Windows Defender,11cd958a-c507-4ef3-b3f2-5fd9dfbd2c78,Microsoft-Windows-Windows Defender/Operational,6024,6068,MSEDGEWIN10,S-1-5-18,7/19/2019 4:51,6e1a750f-42c6-491e-941a-12f6af57ebd2,,c:\users\myuser\desktop\evtxsample\windefender_events_1117_1116_atomicredteam.evtx,System.Int32[],System.Diagnostics.Eventing.Reader.EventBookmark,Information,Info,,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
1116,0,,3,0,0,-9.22337E+18,95,Microsoft-Windows-Windows Defender,11cd958a-c507-4ef3-b3f2-5fd9dfbd2c78,Microsoft-Windows-Windows Defender/Operational,6024,5500,MSEDGEWIN10,S-1-5-18,7/19/2019 4:41,,,c:\users\myuser\desktop\evtxsample\windefender_events_1117_1116_atomicredteam.evtx,System.Int32[],System.Diagnostics.Eventing.Reader.EventBookmark,Warning,Info,,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
1116,0,,3,0,0,-9.22337E+18,76,Microsoft-Windows-Windows Defender,11cd958a-c507-4ef3-b3f2-5fd9dfbd2c78,Microsoft-Windows-Windows Defender/Operational,6024,5500,MSEDGEWIN10,S-1-5-18,7/19/2019 4:41,,,c:\users\myuser\desktop\evtxsample\windefender_events_1117_1116_atomicredteam.evtx,System.Int32[],System.Diagnostics.Eventing.Reader.EventBookmark,Warning,Info,,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
1116,0,,3,0,0,-9.22337E+18,75,Microsoft-Windows-Windows Defender,11cd958a-c507-4ef3-b3f2-5fd9dfbd2c78,Microsoft-Windows-Windows Defender/Operational,6024,5500,MSEDGEWIN10,S-1-5-18,7/19/2019 4:41,,,c:\users\myuser\desktop\evtxsample\windefender_events_1117_1116_atomicredteam.evtx,System.Int32[],System.Diagnostics.Eventing.Reader.EventBookmark,Warning,Info,,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
1116,0,,3,0,0,-9.22337E+18,48,Microsoft-Windows-Windows Defender,11cd958a-c507-4ef3-b3f2-5fd9dfbd2c78,Microsoft-Windows-Windows Defender/Operational,6024,5500,MSEDGEWIN10,S-1-5-18,7/19/2019 4:40,,,c:\users\myuser\desktop\evtxsample\windefender_events_1117_1116_atomicredteam.evtx,System.Int32[],System.Diagnostics.Eventing.Reader.EventBookmark,Warning,Info,,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
1116,0,,3,0,0,-9.22337E+18,37,Microsoft-Windows-Windows Defender,11cd958a-c507-4ef3-b3f2-5fd9dfbd2c78,Microsoft-Windows-Windows Defender/Operational,6024,5500,MSEDGEWIN10,S-1-5-18,7/19/2019 4:40,,,c:\users\myuser\desktop\evtxsample\windefender_events_1117_1116_atomicredteam.evtx,System.Int32[],System.Diagnostics.Eventing.Reader.EventBookmark,Warning,Info,,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
10,3,,4,10,0,-9.22337E+18,238388,Microsoft-Windows-Sysmon,5770385f-c22a-43e0-bf4c-06f5698ffbd9,Microsoft-Windows-Sysmon/Operational,1560,2316,alice.insecurebank.local,S-1-5-18,6/21/2019 15:36,,,c:\users\myuser\desktop\evtxsample\sysmon_10_11_outlfank_dumpert_and_andrewspecial_memdump.evtx,System.Int32[],System.Diagnostics.Eventing.Reader.EventBookmark,,,,,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
11,2,,4,11,0,-9.22337E+18,238387,Microsoft-Windows-Sysmon,5770385f-c22a-43e0-bf4c-06f5698ffbd9,Microsoft-Windows-Sysmon/Operational,1560,2316,alice.insecurebank.local,S-1-5-18,6/21/2019 15:36,,,c:\users\myuser\desktop\evtxsample\sysmon_10_11_outlfank_dumpert_and_andrewspecial_memdump.evtx,System.Int32[],System.Diagnostics.Eventing.Reader.EventBookmark,,,,,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
10,3,,4,10,0,-9.22337E+18,238386,Microsoft-Windows-Sysmon,5770385f-c22a-43e0-bf4c-06f5698ffbd9,Microsoft-Windows-Sysmon/Operational,1560,2316,alice.insecurebank.local,S-1-5-18,6/21/2019 15:36,,,c:\users\myuser\desktop\evtxsample\sysmon_10_11_outlfank_dumpert_and_andrewspecial_memdump.evtx,System.Int32[],System.Diagnostics.Eventing.Reader.EventBookmark,,,,,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
1,5,,4,1,0,-9.22337E+18,238385,Microsoft-Windows-Sysmon,5770385f-c22a-43e0-bf4c-06f5698ffbd9,Microsoft-Windows-Sysmon/Operational,1560,2316,alice.insecurebank.local,S-1-5-18,6/21/2019 15:36,,,c:\users\myuser\desktop\evtxsample\sysmon_10_11_outlfank_dumpert_and_andrewspecial_memdump.evtx,System.Int32[],System.Diagnostics.Eventing.Reader.EventBookmark,,,,,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
10,3,,4,10,0,-9.22337E+18,238384,Microsoft-Windows-Sysmon,5770385f-c22a-43e0-bf4c-06f5698ffbd9,Microsoft-Windows-Sysmon/Operational,1560,2316,alice.insecurebank.local,S-1-5-18,6/21/2019 15:35,,,c:\users\myuser\desktop\evtxsample\sysmon_10_11_outlfank_dumpert_and_andrewspecial_memdump.evtx,System.Int32[],System.Diagnostics.Eventing.Reader.EventBookmark,,,,,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
11,2,,4,11,0,-9.22337E+18,238383,Microsoft-Windows-Sysmon,5770385f-c22a-43e0-bf4c-06f5698ffbd9,Microsoft-Windows-Sysmon/Operational,1560,2316,alice.insecurebank.local,S-1-5-18,6/21/2019 15:35,,,c:\users\myuser\desktop\evtxsample\sysmon_10_11_outlfank_dumpert_and_andrewspecial_memdump.evtx,System.Int32[],System.Diagnostics.Eventing.Reader.EventBookmark,,,,,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
10,3,,4,10,0,-9.22337E+18,238382,Microsoft-Windows-Sysmon,5770385f-c22a-43e0-bf4c-06f5698ffbd9,Microsoft-Windows-Sysmon/Operational,1560,2316,alice.insecurebank.local,S-1-5-18,6/21/2019 15:35,,,c:\users\myuser\desktop\evtxsample\sysmon_10_11_outlfank_dumpert_and_andrewspecial_memdump.evtx,System.Int32[],System.Diagnostics.Eventing.Reader.EventBookmark,,,,,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
10,3,,4,10,0,-9.22337E+18,238381,Microsoft-Windows-Sysmon,5770385f-c22a-43e0-bf4c-06f5698ffbd9,Microsoft-Windows-Sysmon/Operational,1560,2316,alice.insecurebank.local,S-1-5-18,6/21/2019 15:35,,,c:\users\myuser\desktop\evtxsample\sysmon_10_11_outlfank_dumpert_and_andrewspecial_memdump.evtx,System.Int32[],System.Diagnostics.Eventing.Reader.EventBookmark,,,,,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
11,2,,4,11,0,-9.22337E+18,238380,Microsoft-Windows-Sysmon,5770385f-c22a-43e0-bf4c-06f5698ffbd9,Microsoft-Windows-Sysmon/Operational,1560,2316,alice.insecurebank.local,S-1-5-18,6/21/2019 15:35,,,c:\users\myuser\desktop\evtxsample\sysmon_10_11_outlfank_dumpert_and_andrewspecial_memdump.evtx,System.Int32[],System.Diagnostics.Eventing.Reader.EventBookmark,,,,,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
10,3,,4,10,0,-9.22337E+18,238379,Microsoft-Windows-Sysmon,5770385f-c22a-43e0-bf4c-06f5698ffbd9,Microsoft-Windows-Sysmon/Operational,1560,2316,alice.insecurebank.local,S-1-5-18,6/21/2019 15:35,,,c:\users\myuser\desktop\evtxsample\sysmon_10_11_outlfank_dumpert_and_andrewspecial_memdump.evtx,System.Int32[],System.Diagnostics.Eventing.Reader.EventBookmark,,,,,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
1,5,,4,1,0,-9.22337E+18,238378,Microsoft-Windows-Sysmon,5770385f-c22a-43e0-bf4c-06f5698ffbd9,Microsoft-Windows-Sysmon/Operational,1560,2316,alice.insecurebank.local,S-1-5-18,6/21/2019 15:35,,,c:\users\myuser\desktop\evtxsample\sysmon_10_11_outlfank_dumpert_and_andrewspecial_memdump.evtx,System.Int32[],System.Diagnostics.Eventing.Reader.EventBookmark,,,,,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
